name,artist,meter,chorus_cp,verse_cp,intro_cp,outro_cp,bridge_cp,release year,energy,valence,tempo,danceability
Must Of Got Lost,The J. Geils Band,4/4,"['C:maj', 'F:maj/5', 'C:maj', 'C:maj', 'D:min7', 'F:maj', 'G:maj', 'C:maj', 'F:maj/9', 'C:maj', 'C:maj', 'C:maj', 'F:maj/5', 'C:maj', 'C:maj', 'D:min7', 'F:maj', 'G:maj', 'C:maj', 'F:maj/9', 'C:maj', 'C:maj', 'N', 'N', 'N', 'N', 'C:maj', 'F:maj/5', 'C:maj', 'C:maj', 'D:min7', 'F:maj', 'G:maj', 'C:maj', 'F:maj/9', 'C:maj', 'C:maj']","['C:maj', 'C:maj', 'C:maj', 'G:min', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'G:min', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'G:min', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'G:min', 'F:maj']","['C:maj', 'F:maj', 'C:maj', 'F:maj']","['C:maj', 'F:maj/5', 'C:maj', 'C:maj', 'D:min7', 'F:maj', 'G:maj', 'C:maj', 'F:maj/9', 'C:maj', 'C:maj']",['C:maj'],1974,0.516,0.738,103.922,0.53
Baby I'm Burnin',Dolly Parton,4/4,"['B:maj', 'F#:maj', 'B:maj', 'E:maj', 'B:maj', 'F#:maj', 'B:maj', 'E:maj', 'B:maj', 'F#:maj', 'B:maj', 'E:maj', 'B:maj', 'F#:maj', 'B:maj', 'E:maj', 'C:maj', 'G:maj', 'C:maj', 'F:maj', 'C:maj', 'G:maj', 'C:maj']","['B:maj', 'E:maj', 'B:maj', 'E:maj', 'E:maj/9', 'B:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'E:maj/9', 'B:maj']","['B:maj', 'B:maj', 'B:maj', 'B:maj']","['G:maj', 'C:maj', 'G:maj', 'C:maj', 'F:maj', 'C:maj', 'G:maj', 'C:maj']",[],1978,0.828,0.971,133.942,0.745
Tenderness,General Public,4/4,"['F:maj6/9', 'F:maj', 'C:maj', 'G:maj', 'F:maj6/9', 'F:maj', 'C:maj', 'G:maj', 'F:maj6/9', 'F:maj', 'C:maj', 'G:maj', 'F:maj6/9', 'F:maj', 'C:maj', 'G:maj', 'F:maj6/9', 'F:maj', 'C:maj', 'G:maj', 'F:maj6/9', 'F:maj', 'C:maj', 'G:maj']","['F:maj', 'F:maj', 'C:maj', 'G:maj', 'F:maj', 'F:maj', 'C:maj', 'G:maj', 'F:maj', 'F:maj', 'C:maj', 'G:maj', 'F:maj', 'F:maj', 'C:maj', 'G:maj']","['F:maj', 'F:maj', 'C:maj', 'G:maj']","['F:maj6/9', 'F:maj', 'C:maj', 'G:maj', 'F:maj6/9', 'F:maj', 'C:maj', 'G:maj']","['E:min', 'E:min', 'F:maj', 'G:maj', 'E:min', 'E:min', 'A:min', 'G:maj', 'E:min', 'E:min', 'F:maj', 'F:maj', 'G:maj', 'G:maj', 'F:maj', 'F:maj', 'E:min', 'E:min', 'F:maj', 'G:maj', 'E:min', 'E:min', 'A:min', 'G:maj']",1984,0.858,0.847,89.9,0.564
Little Too Late,Pat Benatar,4/4,"['E:maj(11)', 'E:maj', 'E:maj(11)', 'E:maj', 'A:maj/5', 'A:maj6/5', 'A:maj/5', 'A:maj/5', 'A:maj', 'G#:min', 'E:maj(11)', 'E:maj', 'E:maj(11)', 'E:maj', 'A:maj/5', 'A:maj6/5', 'A:maj/5', 'A:maj/5', 'A:maj', 'G#:min', 'E:maj(11)', 'E:maj', 'E:maj(11)', 'E:maj', 'A:maj/5', 'A:maj6/5', 'A:maj/5', 'A:maj/5', 'A:maj', 'G#:min', 'E:1', 'N', 'N', 'N', 'E:maj(11)', 'E:maj', 'E:maj(11)', 'E:maj', 'A:maj/5', 'A:maj6/5', 'A:maj/5', 'A:maj/5', 'A:maj', 'G#:min']","['E:maj', 'A:maj', 'C#:min', 'D:maj', 'A:maj', 'E:maj', 'A:maj', 'C#:min', 'D:maj', 'A:maj']","['N', 'N', 'N', 'N']",[],"['B:maj', 'E:maj/3', 'A:maj', 'B:maj', 'E:maj/3', 'A:maj']",1982,0.519,0.925,135.104,0.574
Always on My Mind,Pet Shop Boys,4/4,"['G:maj', 'D:maj', 'E:min', 'D:maj6', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'C:maj', 'G:maj', 'C:maj', 'G:maj/3', 'A:min', 'G:maj', 'C:maj', 'G:maj', 'C:maj', 'G:maj/3', 'A:min', 'G:maj', 'G:maj', 'D:maj', 'E:min', 'D:maj6', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'C:maj', 'G:maj', 'C:maj', 'G:maj/3', 'A:min', 'G:maj', 'D:maj', 'G:maj', 'C:maj', 'D:maj', 'G:maj']","['G:maj', 'D:maj', 'E:min', 'D:maj6', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'G:maj', 'D:maj', 'E:min', 'D:maj6', 'C:maj', 'C:maj', 'C:maj', 'D:maj']","['N', 'N']","['G:maj', 'D:maj', 'E:min', 'D:maj6', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'G:maj', 'D:maj', 'E:min', 'D:maj6', 'C:maj', 'C:maj', 'C:maj', 'D:maj']","['G:maj', 'D:maj/3', 'E:min', 'D:maj', 'C:maj', 'G:maj/3', 'A:min', 'D:maj', 'G:maj', 'D:maj/3', 'E:min', 'D:maj', 'C:maj', 'G:maj/3', 'A:min', 'D:maj']",2003,0.889,0.579,124.768,0.533
After The Love Has Gone,"Earth, Wind & Fire",4/4,"['C:min9', 'F:min9', 'Bb:min9', 'Ab:maj6/5', 'F:min9', 'Bb:min9', 'Eb:min9', 'Db:maj6/5', 'F:min9', 'Bb:min9', 'Eb:min9', 'Db:maj6/5', 'F:min9', 'Bb:min9', 'Eb:min9', 'Db:maj6/5']","['F:maj(9)', 'Bb:min6', 'F:maj(9)', 'Bb:min6', 'F:maj(9)', 'F:aug(9)', 'F:maj(9)', 'A:min7']","['F:maj/5', 'A:min7', 'Bb:maj(9)', 'C:sus4(b7)']",[],"['Bb:maj9', 'Bb:maj9', 'A:min7', 'D:min7', 'G:min9', 'G:min9', 'F:maj9', 'B:sus4(b7,9)']",1979,0.443,0.391,131.675,0.424
Happy Together,The Turtles,4/4,"['F#:maj', 'C#:min7', 'F#:maj', 'A:maj', 'F#:maj', 'C#:min7', 'F#:maj', 'A:maj']","['F#:min', 'F#:min', 'E:maj', 'E:maj', 'F#:min', 'F#:min', 'E:maj', 'E:maj', 'F#:min', 'F#:min', 'E:maj', 'E:maj', 'F#:min', 'F#:min', 'E:maj', 'E:maj', 'F#:min', 'F#:min', 'E:maj', 'E:maj']","['F#:min', 'F#:min', 'F#:min', 'F#:min']","['C#:7', 'F#:min']","['F#:maj', 'C#:min7', 'F#:maj', 'A:maj']",1967,0.367,0.588,120.175,0.584
Golden Earring,Twilight Zone,4/4,"['B:min', 'B:min', 'A:sus4', 'A:sus4', 'B:min', 'B:min', 'A:sus4', 'A:sus4', 'B:min', 'B:min', 'B:min', 'B:min', 'B:min', 'B:min', 'A:sus4', 'A:sus4']","['B:min', 'B:min', 'E:min', 'E:min', 'B:min', 'B:min', 'E:min', 'E:min']","['B:min', 'B:min']","['G:5', 'E:5', 'B:5', 'B:5']",[],,,,,
Would It Make Any Difference To You,Etta James,12/8,"['Db:maj', 'Db:maj', 'Ab:maj', 'Ab:maj']","['Ab:maj', 'Ab:maj', 'Db:maj', 'Db:maj', 'Ab:maj', 'Ab:maj', 'Db:maj', 'Db:maj']","['Ab:maj', 'Eb:maj', 'Ab:maj', 'Ab:maj']",[],[],2011,0.313,0.623,69.553,0.412
Spirits In The Material World,The Police,4/4,"['D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj', 'D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj', 'D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj', 'D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj', 'D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj']","['A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min', 'A:min(9)', 'A:min/b3', 'G:maj', 'E:min']",['N'],"['D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj', 'D:maj', 'D:maj', 'D:maj', 'G:maj', 'C:maj']",[],1981,0.663,0.859,141.551,0.833
